id,student_name,top_career_1,confidence_1,top_career_2,confidence_2,top_career_3,confidence_3,predicted_score,is_at_risk,risk_probability,risk_level
5,Anthony Campos,Government Officer,39.0%,Teacher,14.0%,Stock Investor,13.2%,79.0,False,6.1%,Low
6,Kelly Wade,Lawyer,28.5%,Software Engineer,27.4%,Banker,17.0%,81.8,False,1.1%,Low
9,Stanley Gutierrez,Software Engineer,36.4%,Construction Engineer,18.6%,Doctor,11.8%,80.9,False,2.4%,Low
12,Clinton Randolph,Real Estate Developer,31.7%,Government Officer,13.2%,Designer,11.1%,75.4,False,5.9%,Low
35,Lisa Burns,Software Engineer,32.8%,Scientist,20.1%,Construction Engineer,14.5%,80.6,False,1.1%,Low
36,Kelly Farley,Designer,36.3%,Accountant,12.1%,Writer,10.1%,75.9,False,8.3%,Low
49,Kimberly Kelly,Software Engineer,21.1%,Accountant,20.7%,Banker,14.5%,80.6,False,1.5%,Low
57,Melissa Lee,Software Engineer,41.3%,Doctor,12.8%,Banker,11.8%,81.8,False,1.7%,Low
78,Rhonda Davenport,Artist,40.6%,Real Estate Developer,23.2%,Government Officer,12.7%,81.4,False,4.9%,Low
79,Chelsea Craig,Software Engineer,33.6%,Banker,19.4%,Lawyer,12.5%,84.2,False,0.6%,Low
85,James Dawson,Lawyer,20.5%,Banker,18.4%,Accountant,16.0%,75.8,False,14.0%,Low
95,Natalie Robinson,Artist,32.6%,Real Estate Developer,22.2%,Business Owner,17.0%,79.5,False,4.9%,Low
109,Alexandra Gibson,Artist,32.7%,Business Owner,29.6%,Real Estate Developer,18.8%,82.1,False,5.6%,Low
116,Robert Hill,Software Engineer,39.3%,Banker,25.0%,Stock Investor,12.9%,82.5,False,1.3%,Low
118,Beth Bell,Accountant,17.0%,Teacher,15.5%,Lawyer,12.1%,74.9,False,36.8%,Low
125,Jennifer Miller,Teacher,35.9%,Government Officer,21.0%,Real Estate Developer,13.5%,77.4,False,3.6%,Low
126,Lisa Ware,Government Officer,22.9%,Teacher,22.6%,Real Estate Developer,17.8%,80.9,False,2.3%,Low
129,Amanda Williamson,Stock Investor,17.1%,Software Engineer,16.1%,Banker,15.2%,79.2,False,1.4%,Low
130,Michael Miller,Software Engineer,32.0%,Stock Investor,17.3%,Lawyer,15.6%,82.0,False,2.2%,Low
149,Tanya Nichols,Writer,20.9%,Designer,15.4%,Accountant,13.7%,79.4,False,0.9%,Low
151,Courtney Perry,Artist,26.0%,Business Owner,22.4%,Real Estate Developer,19.9%,78.3,False,18.0%,Low
153,Elizabeth Robinson,Construction Engineer,23.8%,Software Engineer,18.6%,Banker,18.4%,83.2,False,0.7%,Low
156,Matthew Newman,Construction Engineer,24.2%,Software Engineer,16.6%,Banker,15.7%,83.1,False,1.9%,Low
157,Anita Moore,Teacher,28.4%,Designer,22.1%,Writer,12.3%,77.3,False,4.8%,Low
160,Michael Rivas,Software Engineer,23.6%,Construction Engineer,17.2%,Scientist,15.2%,81.3,False,1.3%,Low
161,Ryan Smith,Designer,26.9%,Teacher,15.2%,Government Officer,11.6%,79.2,False,1.3%,Low
168,Amy Peterson,Banker,37.7%,Software Engineer,23.9%,Lawyer,10.5%,82.5,False,0.7%,Low
169,Fernando Sexton,Government Officer,21.7%,Banker,17.8%,Real Estate Developer,16.3%,84.6,False,2.3%,Low
176,Jeremy Barnes,Teacher,18.9%,Designer,15.4%,Writer,14.9%,77.7,False,1.0%,Low
181,Christopher Wolfe,Artist,32.7%,Real Estate Developer,21.5%,Business Owner,19.7%,77.6,False,9.8%,Low
183,Victoria Donaldson,Lawyer,40.1%,Writer,28.6%,Designer,14.3%,81.8,False,0.5%,Low
189,Steven Walker,Lawyer,24.4%,Designer,17.9%,Writer,10.7%,80.5,False,2.9%,Low
207,Matthew Guzman,Artist,44.3%,Real Estate Developer,18.1%,Designer,9.4%,85.0,False,5.4%,Low
219,Theresa Tucker,Designer,34.9%,Accountant,11.4%,Writer,8.7%,77.1,False,7.8%,Low
230,Christopher Perez,Government Officer,38.3%,Teacher,26.8%,Real Estate Developer,11.8%,78.1,True,42.1%,Moderate
239,John Conley,Software Engineer,21.3%,Scientist,15.1%,Banker,14.2%,81.6,False,0.8%,Low
255,Nathan Riley,Accountant,19.6%,Lawyer,15.6%,Software Engineer,15.4%,90.0,False,0.8%,Low
263,Nicholas Sanders,Accountant,31.7%,Banker,21.2%,Software Engineer,14.5%,76.1,True,67.8%,Moderate
266,Adam Kane,Software Engineer,32.6%,Banker,14.9%,Stock Investor,10.8%,83.5,False,0.7%,Low
273,Kevin Camacho,Software Engineer,26.3%,Stock Investor,18.4%,Accountant,17.6%,81.8,False,2.0%,Low
288,Anthony Cox,Lawyer,32.3%,Banker,29.6%,Writer,12.9%,82.8,False,2.2%,Low
299,Sarah Oconnor,Game Developer,67.1%,Real Estate Developer,8.9%,Artist,7.5%,76.3,False,5.7%,Low
315,Joel Hicks,Doctor,20.4%,Scientist,18.7%,Lawyer,18.3%,90.6,False,0.7%,Low
317,Nancy Jones,Designer,26.0%,Writer,19.1%,Accountant,12.3%,77.4,False,3.5%,Low
323,Andrea Walters,Software Engineer,35.0%,Stock Investor,17.0%,Construction Engineer,12.3%,81.6,False,1.0%,Low
324,David Wright,Real Estate Developer,21.8%,Government Officer,19.5%,Designer,18.1%,81.0,False,1.5%,Low
325,Anthony Oconnor,Artist,28.4%,Business Owner,22.4%,Real Estate Developer,16.7%,79.4,False,5.1%,Low
330,Kenneth Flores,Software Engineer,26.2%,Lawyer,20.3%,Banker,16.7%,80.0,False,4.3%,Low
353,Ryan Hull,Construction Engineer,21.6%,Banker,18.6%,Writer,16.3%,83.1,False,0.7%,Low
357,Christopher Rios,Designer,33.1%,Lawyer,14.3%,Banker,11.2%,77.4,False,10.9%,Low
366,Francis Nelson,Banker,33.7%,Lawyer,18.3%,Software Engineer,12.0%,81.9,True,89.2%,High
368,Sheila Sosa,Designer,26.5%,Lawyer,11.8%,Banker,11.5%,78.5,False,7.8%,Low
375,Kristen Adams,Accountant,29.1%,Banker,24.4%,Software Engineer,10.7%,78.0,False,3.9%,Low
377,Patrick Everett,Software Engineer,45.0%,Lawyer,16.6%,Banker,13.6%,83.8,False,0.6%,Low
378,Carla Parker,Government Officer,17.6%,Accountant,15.9%,Designer,15.4%,76.4,False,7.6%,Low
380,Eric Moran,Game Developer,38.9%,Real Estate Developer,17.8%,Artist,12.4%,79.8,False,9.6%,Low
382,Lance Salazar,Teacher,28.9%,Government Officer,25.3%,Real Estate Developer,17.4%,76.8,False,8.4%,Low
384,James Castro,Artist,34.0%,Business Owner,25.0%,Real Estate Developer,14.8%,79.8,False,7.7%,Low
406,Autumn Hernandez,Banker,28.8%,Software Engineer,20.0%,Accountant,17.5%,79.3,False,4.6%,Low
425,Jason Hernandez,Software Engineer,27.8%,Construction Engineer,25.3%,Accountant,11.1%,80.5,False,0.7%,Low
451,Lori Ryan,Government Officer,31.8%,Banker,15.3%,Teacher,13.6%,81.3,False,0.4%,Low
479,Douglas Watson,Teacher,32.2%,Designer,23.5%,Government Officer,13.1%,78.2,False,3.2%,Low
480,Manuel Barrett,Government Officer,25.5%,Banker,16.2%,Teacher,14.2%,84.5,False,3.2%,Low
484,Julie Zamora,Business Owner,20.8%,Real Estate Developer,20.7%,Artist,19.9%,76.9,False,14.8%,Low
487,Whitney Miller,Doctor,31.5%,Software Engineer,22.9%,Construction Engineer,10.9%,84.1,False,0.6%,Low
505,Tamara Olson,Banker,19.8%,Software Engineer,17.5%,Accountant,15.0%,80.1,True,82.7%,High
512,Dawn Poole,Government Officer,34.2%,Teacher,32.3%,Designer,11.4%,78.4,False,3.7%,Low
521,Cynthia Williams,Artist,41.3%,Business Owner,24.9%,Real Estate Developer,18.9%,75.4,False,25.8%,Low
527,Robert Heath,Lawyer,30.5%,Designer,16.6%,Accountant,12.4%,76.1,False,0.9%,Low
534,Phyllis Schneider,Lawyer,37.0%,Banker,14.7%,Stock Investor,10.0%,76.6,False,4.2%,Low
539,Mark Davis,Software Engineer,34.4%,Lawyer,20.6%,Banker,17.2%,80.7,False,1.4%,Low
556,Justin Douglas,Construction Engineer,20.5%,Doctor,20.3%,Scientist,16.4%,93.4,False,0.5%,Low
562,Theodore Williams,Lawyer,49.2%,Software Engineer,16.0%,Stock Investor,7.8%,85.3,False,0.7%,Low
584,Lindsay Brady,Software Engineer,27.4%,Stock Investor,25.3%,Banker,10.8%,82.0,False,7.0%,Low
591,Meredith Reed,Software Engineer,24.0%,Lawyer,22.6%,Stock Investor,18.4%,84.7,False,2.0%,Low
592,David Brown,Artist,43.2%,Business Owner,28.4%,Game Developer,14.9%,82.9,False,3.9%,Low
602,Michelle Ortiz,Teacher,24.8%,Stock Investor,16.7%,Real Estate Developer,16.7%,80.5,False,2.2%,Low
604,Tammy Hernandez,Real Estate Developer,38.3%,Artist,26.8%,Business Owner,15.6%,73.4,True,83.6%,High
605,Jennifer Guerra,Stock Investor,21.2%,Software Engineer,17.1%,Banker,16.4%,75.6,False,16.1%,Low
616,Joshua Parker,Construction Engineer,31.4%,Software Engineer,23.0%,Banker,10.6%,78.2,False,3.9%,Low
622,David Madden,Banker,24.6%,Lawyer,22.9%,Software Engineer,20.5%,85.7,False,2.5%,Low
623,William Brennan,Real Estate Developer,32.7%,Business Owner,22.0%,Artist,19.6%,77.0,False,10.1%,Low
629,Sean Wagner,Teacher,25.8%,Government Officer,24.3%,Designer,15.1%,76.5,False,18.2%,Low
635,Douglas Hayes,Government Officer,22.4%,Teacher,21.1%,Banker,16.7%,78.1,True,74.3%,Moderate
642,Bethany French,Designer,26.4%,Real Estate Developer,20.0%,Government Officer,19.1%,81.4,False,5.6%,Low
671,Lauren Morrow,Accountant,20.4%,Teacher,17.0%,Designer,10.9%,80.4,False,1.9%,Low
677,Thomas Nelson,Software Engineer,33.9%,Banker,19.2%,Construction Engineer,15.0%,84.0,False,2.0%,Low
684,Jeffery Kelley,Software Engineer,27.4%,Banker,25.8%,Stock Investor,15.2%,80.8,False,0.6%,Low
686,Hayley Case,Software Engineer,29.8%,Banker,26.0%,Stock Investor,14.1%,80.6,False,0.6%,Low
690,Phillip Nelson,Teacher,20.2%,Government Officer,19.5%,Banker,15.9%,80.4,False,6.8%,Low
695,Richard Gibson,Software Engineer,34.9%,Accountant,17.5%,Stock Investor,11.4%,79.5,False,1.8%,Low
701,Gregory Jones,Software Engineer,24.5%,Construction Engineer,19.9%,Banker,16.5%,83.0,False,1.9%,Low
703,Andrea Baker,Artist,41.0%,Business Owner,32.9%,Real Estate Developer,17.0%,76.4,False,13.6%,Low
704,Robert Holmes,Banker,23.7%,Accountant,18.8%,Software Engineer,18.5%,79.1,False,1.4%,Low
718,Alyssa Gallagher,Teacher,29.5%,Government Officer,28.2%,Real Estate Developer,12.6%,78.5,False,4.4%,Low
722,Mark Brown,Construction Engineer,19.8%,Scientist,16.8%,Doctor,16.0%,94.2,False,0.9%,Low
734,Austin Dunn,Lawyer,30.4%,Banker,18.5%,Software Engineer,17.1%,80.7,False,0.5%,Low
746,Thomas Stone,Lawyer,38.7%,Writer,18.2%,Designer,15.0%,80.0,False,1.3%,Low
770,William Dean,Lawyer,30.9%,Software Engineer,22.2%,Stock Investor,14.9%,82.9,False,1.1%,Low
772,Diane Spears,Teacher,27.9%,Government Officer,25.0%,Real Estate Developer,15.5%,79.5,False,2.6%,Low
776,Betty Nash,Real Estate Developer,28.4%,Government Officer,25.8%,Teacher,21.3%,75.0,True,72.3%,Moderate
780,Todd Howard,Construction Engineer,30.7%,Writer,13.1%,Scientist,11.4%,93.5,False,2.0%,Low
782,Mary Mccormick,Stock Investor,25.8%,Banker,21.9%,Software Engineer,21.2%,81.7,False,3.8%,Low
793,Kelly Rivera,Software Engineer,30.3%,Stock Investor,14.0%,Construction Engineer,13.1%,82.0,False,1.8%,Low
794,Stacey Wilson,Designer,22.6%,Accountant,16.3%,Banker,13.9%,74.8,True,83.1%,High
808,Anthony Gomez,Software Engineer,43.4%,Banker,13.9%,Accountant,13.4%,81.1,False,1.8%,Low
811,John Henderson,Doctor,46.8%,Scientist,18.1%,Software Engineer,13.0%,83.6,False,3.8%,Low
827,Thomas Hernandez,Teacher,33.4%,Government Officer,21.6%,Real Estate Developer,11.6%,80.2,False,4.4%,Low
835,Alexander Fowler,Construction Engineer,19.9%,Software Engineer,19.7%,Lawyer,14.3%,78.1,False,1.7%,Low
836,Andrew Wong,Software Engineer,24.1%,Stock Investor,20.2%,Lawyer,18.3%,81.4,False,1.1%,Low
837,Bobby Valdez,Lawyer,29.1%,Software Engineer,23.3%,Banker,19.4%,84.7,False,1.8%,Low
844,Shannon Graham,Real Estate Developer,25.8%,Government Officer,15.1%,Construction Engineer,12.8%,81.0,False,3.1%,Low
860,Deborah Moore,Government Officer,19.9%,Real Estate Developer,10.0%,Construction Engineer,9.2%,83.8,False,1.7%,Low
870,Justin Kelly,Software Engineer,41.2%,Banker,15.9%,Construction Engineer,13.6%,83.7,False,1.0%,Low
872,Ashley Craig,Writer,29.4%,Lawyer,20.9%,Banker,13.7%,79.2,False,4.3%,Low
887,Nicole Mcdonald,Teacher,37.3%,Government Officer,29.7%,Real Estate Developer,11.1%,77.4,False,4.6%,Low
888,Christopher Ramirez,Software Engineer,44.1%,Accountant,18.1%,Stock Investor,13.4%,80.5,False,0.7%,Low
904,Kevin Ryan,Lawyer,42.1%,Banker,18.0%,Writer,13.5%,80.6,False,0.6%,Low
918,Noah Mcdaniel,Artist,32.9%,Business Owner,29.1%,Real Estate Developer,25.1%,79.3,False,18.5%,Low
